CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD219767,04/28/2020 10:37:00 PM,027XX W AINSLIE ST,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,2031,40,06,,,,,
JD220736,04/28/2020 09:00:00 PM,067XX S UNION AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,723,6,06,1172902,1860107,41.771563544,-87.64175188,"(41.771563544, -87.64175188)"
JD219089,04/28/2020 01:00:00 PM,130XX S DREXEL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,533,9,06,1184336,1818785,41.657911061,-87.601127194,"(41.657911061, -87.601127194)"
JD219485,04/28/2020 02:00:00 AM,048XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,N,Y,1712,35,08B,1148850,1932008,41.969365232,-87.72806082,"(41.969365232, -87.72806082)"
JD218789,04/28/2020 05:35:00 AM,034XX S ABERDEEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,Y,913,11,07,1169537,1882252,41.832405446,-87.653444728,"(41.832405446, -87.653444728)"
JD219204,04/28/2020 03:31:00 PM,045XX S UNION AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,925,11,04A,1172388,1874864,41.812069684,-87.643201785,"(41.812069684, -87.643201785)"
JD219208,04/28/2020 03:50:00 PM,010XX N KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1111,37,08B,1148860,1906708,41.899939653,-87.728680162,"(41.899939653, -87.728680162)"
JD218909,04/28/2020 09:30:00 AM,016XX S DRAKE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1021,24,08A,1152976,1891496,41.858115718,-87.713965144,"(41.858115718, -87.713965144)"
JD200611,04/02/2020 05:20:00 PM,005XX N STATE ST,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,N,N,1831,42,06,1176273,1904005,41.891948167,-87.628073894,"(41.891948167, -87.628073894)"
JD219332,04/28/2020 05:55:00 PM,032XX W AUGUSTA BLVD,0483,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,VEHICLE NON-COMMERCIAL,Y,N,1121,26,04B,1154707,1906476,41.899187932,-87.707210123,"(41.899187932, -87.707210123)"
JD219856,04/28/2020 01:00:00 PM,002XX N PULASKI RD,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,N,N,1114,28,03,1149700,1900733,41.883527335,-87.725750205,"(41.883527335, -87.725750205)"
JD219276,04/28/2020 11:30:00 AM,074XX S EXCHANGE AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,GOVERNMENT BUILDING / PROPERTY,N,N,334,7,11,1194919,1856207,41.760347495,-87.56117455,"(41.760347495, -87.56117455)"
JD218770,04/28/2020 02:48:00 AM,004XX E LOWER WACKER DR,1330,CRIMINAL TRESPASS,TO LAND,CONSTRUCTION SITE,N,N,114,42,26,1179295,1902484,41.887705775,-87.617022196,"(41.887705775, -87.617022196)"
JD219037,04/28/2020 11:30:00 AM,076XX S ABERDEEN ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,612,17,05,1170310,1854051,41.755001913,-87.651429251,"(41.755001913, -87.651429251)"
JD219352,04/28/2020 06:10:00 PM,003XX W 42ND PL,0560,ASSAULT,SIMPLE,APARTMENT,N,N,925,3,08A,1174455,1876772,41.817259613,-87.635563286,"(41.817259613, -87.635563286)"
JD219316,04/28/2020 05:30:00 PM,048XX W POTOMAC AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,N,N,2533,37,04B,1143850,1908211,41.904159474,-87.747044455,"(41.904159474, -87.747044455)"
JD219079,04/28/2020 01:05:00 PM,067XX S DORCHESTER AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,N,N,332,5,04A,1186707,1860391,41.772027099,-87.591138947,"(41.772027099, -87.591138947)"
JD218967,04/28/2020 07:34:00 AM,055XX N BROADWAY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SIDEWALK,N,N,2023,48,14,1167312,1936897,41.982402819,-87.660034754,"(41.982402819, -87.660034754)"
JD219231,04/28/2020 12:05:00 PM,035XX S GILES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,212,3,14,1178840,1881672,41.830606764,-87.619328659,"(41.830606764, -87.619328659)"
JD218908,04/28/2020 07:40:00 AM,077XX S MARSHFIELD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,611,17,05,1166687,1853416,41.753337419,-87.664724638,"(41.753337419, -87.664724638)"
JD219212,04/28/2020 02:00:00 PM,011XX W 57TH ST,0560,ASSAULT,SIMPLE,STREET,N,Y,712,16,08A,1169847,1867003,41.790553857,-87.652750397,"(41.790553857, -87.652750397)"
JD219449,04/28/2020 09:13:00 PM,001XX E 110TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,513,9,08A,1179038,1832049,41.69443134,-87.620111786,"(41.69443134, -87.620111786)"
JD218785,04/28/2020 12:00:00 AM,035XX W 12TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1021,24,14,1152967,1894061,41.865154549,-87.713930253,"(41.865154549, -87.713930253)"
JD219175,04/28/2020 09:15:00 AM,020XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,1221,1,06,1162692,1905336,41.895896023,-87.677913394,"(41.895896023, -87.677913394)"
JD219216,04/28/2020 12:00:00 PM,075XX S MAY ST,0810,THEFT,OVER $500,RESIDENCE,N,N,612,17,06,1169958,1854789,41.757034731,-87.652697835,"(41.757034731, -87.652697835)"
JD219340,04/28/2020 05:49:00 PM,031XX W MONROE ST,0650,BURGLARY,HOME INVASION,APARTMENT,N,N,1124,28,05,1155455,1899367,41.879665142,-87.704654033,"(41.879665142, -87.704654033)"
JD219391,04/28/2020 06:35:00 PM,050XX W PATTERSON AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,N,N,1634,30,05,1142200,1923801,41.946970824,-87.752717646,"(41.946970824, -87.752717646)"
JD219326,04/28/2020 05:20:00 PM,0000X S CICERO AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,RESTAURANT,Y,N,1113,28,18,1144394,1899473,41.880171176,-87.745266162,"(41.880171176, -87.745266162)"
JD219157,04/28/2020 02:45:00 PM,036XX E 106TH ST,0560,ASSAULT,SIMPLE,DRUG STORE,N,N,432,10,08A,1201989,1835277,41.702737032,-87.535974085,"(41.702737032, -87.535974085)"
JD218772,04/28/2020 03:42:00 AM,013XX W BIRCHWOOD AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,Y,2422,49,06,1165932,1949940,42.018222741,-87.664735462,"(42.018222741, -87.664735462)"
JD219337,04/28/2020 06:10:00 PM,007XX N DAMEN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,N,N,1221,1,04B,1162931,1905192,41.895495863,-87.677039645,"(41.895495863, -87.677039645)"
JD219845,04/28/2020 07:00:00 PM,026XX W 55TH ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,824,15,08A,1159800,1868098,41.79377103,-87.689560305,"(41.79377103, -87.689560305)"
JD221072,04/28/2020 12:00:00 PM,116XX S ELIZABETH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,N,N,524,34,07,1170089,1827532,41.682234625,-87.653007122,"(41.682234625, -87.653007122)"
JD219070,04/28/2020 12:35:00 PM,034XX W MADISON ST,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,Y,N,1123,28,18,1153523,1899806,41.88090842,-87.711736421,"(41.88090842, -87.711736421)"
JD219515,04/28/2020 11:25:00 PM,013XX N HUDSON AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,Y,N,1821,27,26,1173068,1909520,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
JD220531,04/28/2020 10:00:00 AM,019XX N LINCOLN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1814,43,11,1173849,1913051,41.91682518,-87.636706299,"(41.91682518, -87.636706299)"
JD219188,04/28/2020 12:15:00 PM,057XX S WINCHESTER AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,715,15,06,1164340,1866507,41.789310625,-87.672957186,"(41.789310625, -87.672957186)"
JD219293,04/28/2020 05:25:00 PM,024XX E 106TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,434,7,04B,1194305,1835214,41.702755937,-87.564112433,"(41.702755937, -87.564112433)"
JD394860,10/08/2020 07:30:00 AM,054XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1712,40,06,1154065,1935878,41.979882033,-87.70878139,"(41.979882033, -87.70878139)"
JD218982,04/28/2020 11:10:00 AM,073XX N WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2411,50,07,1159015,1948528,42.014493615,-87.690227788,"(42.014493615, -87.690227788)"
JD219431,04/28/2020 08:27:00 PM,103XX S AVENUE J,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,432,10,14,1202490,1837099,41.707724006,-87.534077677,"(41.707724006, -87.534077677)"
JD219644,04/28/2020 08:00:00 PM,037XX W WILSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1723,35,07,1150619,1930308,41.964665839,-87.721600782,"(41.964665839, -87.721600782)"
JD393050,10/08/2020 05:10:00 PM,015XX N LINDER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2532,37,08B,1139392,1909706,41.90834437,-87.763383589,"(41.90834437, -87.763383589)"
JD392460,10/08/2020 08:20:00 AM,047XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,37,06,1144311,1910210,41.909636288,-87.745300725,"(41.909636288, -87.745300725)"
JD393039,10/08/2020 04:18:00 PM,014XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,614,21,26,1168433,1847060,41.735858253,-87.658508857,"(41.735858253, -87.658508857)"
JD393465,10/08/2020 03:41:00 PM,019XX N RICHMOND ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1421,1,06,,,,,
JD393270,10/08/2020 09:01:00 PM,032XX N NEENAH AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,Y,N,1632,36,15,1132148,1920847,41.939045624,-87.789735454,"(41.939045624, -87.789735454)"
JD392482,10/08/2020 01:00:00 AM,002XX W 109TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,513,34,14,1176712,1832329,41.695252238,-87.628619487,"(41.695252238, -87.628619487)"
JD393025,10/08/2020 12:00:00 AM,058XX S SHIELDS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,711,20,06,1174958,1866088,41.787930446,-87.634037012,"(41.787930446, -87.634037012)"
JD220140,04/28/2020 08:00:00 PM,003XX S FRANCISCO AVE,0810,THEFT,OVER $500,APARTMENT,N,Y,1124,27,06,1157103,1898360,41.876868549,-87.698630138,"(41.876868549, -87.698630138)"
JD219020,04/28/2020 12:06:00 PM,017XX W 90TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2221,21,08B,1166467,1844994,41.730230915,-87.665770278,"(41.730230915, -87.665770278)"
JD393323,10/08/2020 10:20:00 PM,053XX N WINTHROP AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2023,48,04B,1167909,1935528,41.978633349,-87.65787885,"(41.978633349, -87.65787885)"
JD392378,10/08/2020 03:54:00 AM,079XX S MORGAN ST,0650,BURGLARY,HOME INVASION,APARTMENT,N,N,621,17,05,1171026,1852120,41.749687393,-87.648861611,"(41.749687393, -87.648861611)"
JD392479,10/08/2020 01:12:00 AM,021XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735,17,14,1163389,1857559,41.764776101,-87.676694732,"(41.764776101, -87.676694732)"
JD392598,10/08/2020 11:00:00 AM,010XX E 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,631,8,08B,1184744,1852175,41.74952786,-87.598591844,"(41.74952786, -87.598591844)"
JD392937,10/08/2020 03:45:00 PM,020XX N DAMEN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CONVENIENCE STORE,N,N,1432,32,03,1162706,1913430,41.918106256,-87.677634735,"(41.918106256, -87.677634735)"
JD219043,04/28/2020 12:20:00 PM,044XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CONSTRUCTION SITE,N,N,221,4,04B,1182339,1875798,41.814407563,-87.60667312,"(41.814407563, -87.60667312)"
JD218719,04/28/2020 12:00:00 AM,046XX S DRAKE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,821,14,14,1153531,1873489,41.808691226,-87.712405711,"(41.808691226, -87.712405711)"
JD220896,04/28/2020 10:37:00 AM,019XX S LOOMIS ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1235,25,06,1167340,1890756,41.855788654,-87.661261648,"(41.855788654, -87.661261648)"
JD219549,04/28/2020 10:00:00 AM,015XX E 65TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,321,5,05,1187684,1862199,41.77696521,-87.587500142,"(41.77696521, -87.587500142)"
JD220226,04/28/2020 03:00:00 PM,114XX S LONGWOOD DR,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,2212,19,06,1164597,1828696,41.685546098,-87.673078477,"(41.685546098, -87.673078477)"
JD392821,10/08/2020 01:37:00 PM,048XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1634,45,07,1143291,1926152,41.953401827,-87.748648437,"(41.953401827, -87.748648437)"
JD393119,10/08/2020 06:00:00 PM,0000X E OHIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1834,42,06,1176358,1904198,41.892475851,-87.627755902,"(41.892475851, -87.627755902)"
JD393512,10/08/2020 09:00:00 PM,021XX N PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2515,36,14,1138368,1913842,41.91971264,-87.767044991,"(41.91971264, -87.767044991)"
JD218986,04/28/2020 09:50:00 AM,024XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1221,26,06,1160005,1905256,41.895732399,-87.687784384,"(41.895732399, -87.687784384)"
JD219481,04/28/2020 09:50:00 PM,026XX N MOBILE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,2512,30,08A,1133965,1916820,41.927963268,-87.783152359,"(41.927963268, -87.783152359)"
JD220000,04/28/2020 06:00:00 PM,092XX S KINGSTON AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,423,7,06,1194775,1844292,41.727655306,-87.562093685,"(41.727655306, -87.562093685)"
JD219101,04/28/2020 01:45:00 PM,064XX S FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,823,17,08B,1158157,1861712,41.77628055,-87.695758759,"(41.77628055, -87.695758759)"
JD248088,05/31/2020 01:30:00 AM,023XX W JACKSON BLVD,0460,BATTERY,SIMPLE,CHA PARKING LOT / GROUNDS,N,N,1225,27,08B,1160891,1898643,41.877567416,-87.684713886,"(41.877567416, -87.684713886)"
JD397460,10/05/2020 12:01:00 AM,064XX N HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2412,50,08A,1161132,1942760,41.998622155,-87.682599391,"(41.998622155, -87.682599391)"
JD397361,09/07/2020 03:00:00 PM,109XX S WALLACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,1174256,1832240,41.695062798,-87.637614302,"(41.695062798, -87.637614302)"
JD394777,10/08/2020 09:24:00 PM,002XX S ASHLAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,GOVERNMENT BUILDING / PROPERTY,N,N,1231,27,26,1165785,1899039,41.878551176,-87.666733158,"(41.878551176, -87.666733158)"
JD395031,10/08/2020 07:00:00 PM,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,833,18,06,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JD460137,11/20/2020 04:00:00 PM,068XX S CAMPBELL AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,832,17,06,1160885,1859307,41.769624954,-87.685824407,"(41.769624954, -87.685824407)"
JD219468,04/28/2020 09:45:00 PM,021XX S FAIRFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1023,12,08B,1158363,1889594,41.852788089,-87.694243396,"(41.852788089, -87.694243396)"
JD220121,04/28/2020 11:30:00 PM,016XX N DRAKE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),N,N,1422,26,26,1152569,1910673,41.910747442,-87.714951861,"(41.910747442, -87.714951861)"
JD392721,10/08/2020 01:00:00 PM,014XX W WARNER AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,1912,47,11,1166001,1927660,41.957084339,-87.665121229,"(41.957084339, -87.665121229)"
JD393038,10/08/2020 02:16:00 PM,032XX N PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1731,30,06,1149164,1921062,41.93932248,-87.727190905,"(41.93932248, -87.727190905)"
JD393088,10/08/2020 05:57:00 PM,032XX N LAKE SHORE DR,0820,THEFT,$500 AND UNDER,STREET,N,N,1925,44,06,1173062,1921867,41.941034149,-87.639335535,"(41.941034149, -87.639335535)"
JD397044,09/23/2020 08:56:00 PM,013XX N MAYFIELD AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2531,29,10,1136777,1908330,41.904615737,-87.773022962,"(41.904615737, -87.773022962)"
JD393117,10/08/2020 05:00:00 PM,056XX S WENTWORTH AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,225,3,06,1175929,1867567,41.791967246,-87.630432429,"(41.791967246, -87.630432429)"
JD369759,09/16/2020 08:40:00 PM,0000X E HUBBARD ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1834,42,04B,1176772,1903334,41.890095639,-87.626261615,"(41.890095639, -87.626261615)"
JD393658,10/08/2020 08:00:00 PM,012XX W ARTHUR AVE,0810,THEFT,OVER $500,STREET,N,N,2432,49,06,1166631,1943458,42.000421022,-87.662350234,"(42.000421022, -87.662350234)"
JD393540,10/08/2020 11:00:00 AM,044XX N MALDEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1913,46,14,1166744,1929494,41.962100976,-87.662336956,"(41.962100976, -87.662336956)"
JD392619,10/08/2020 11:20:00 AM,005XX S PULASKI RD,0870,THEFT,POCKET-PICKING,CTA TRAIN,N,N,1132,24,06,1149812,1897228,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
JD393916,10/08/2020 07:52:00 PM,034XX N WESTERN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,1921,32,06,1159769,1922729,41.94368445,-87.688168365,"(41.94368445, -87.688168365)"
JD394946,10/08/2020 12:30:00 AM,069XX S HALSTED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,732,6,07,1172166,1858840,41.768102953,-87.644487,"(41.768102953, -87.644487)"
JD396957,10/06/2020 05:38:00 AM,053XX N MAGNOLIA AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2013,48,26,1167000,1935672,41.979048109,-87.661217559,"(41.979048109, -87.661217559)"
JD220881,04/28/2020 03:00:00 PM,091XX S WESTERN AVE,0810,THEFT,OVER $500,DEPARTMENT STORE,N,N,2221,19,06,1161969,1844060,41.727762417,-87.682273817,"(41.727762417, -87.682273817)"
JD219039,04/28/2020 12:16:00 PM,032XX N LINDER AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,1633,30,08A,1139124,1921172,41.939813207,-87.764088487,"(41.939813207, -87.764088487)"
JD219693,04/28/2020 10:30:00 PM,091XX S ESSEX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,423,7,14,1194426,1844806,41.729074342,-87.563355262,"(41.729074342, -87.563355262)"
JD392893,10/08/2020 12:01:00 AM,132XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,533,9,06,1179940,1817390,41.654184308,-87.61725535,"(41.654184308, -87.61725535)"
JD393181,10/08/2020 07:14:00 PM,061XX W FLETCHER ST,0460,BATTERY,SIMPLE,RESIDENCE,N,N,2511,30,08B,1134925,1920298,41.937490332,-87.779542104,"(41.937490332, -87.779542104)"
JD390825,10/06/2020 05:00:00 PM,028XX S ARCHER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,Y,Y,913,11,04A,1169259,1886251,41.843385108,-87.654348758,"(41.843385108, -87.654348758)"
JD359744,09/07/2020 04:00:00 PM,065XX N SPOKANE AVE,0620,BURGLARY,UNLAWFUL ENTRY,ALLEY,N,N,1621,41,05,1140316,1942834,41.999233772,-87.759173908,"(41.999233772, -87.759173908)"
JD393549,10/08/2020 07:30:00 PM,039XX W GRENSHAW ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1132,24,04A,1150300,1894750,41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
JD219494,04/28/2020 10:45:00 PM,041XX W WILCOX ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,Y,1115,28,07,1148834,1899014,41.878826986,-87.728974703,"(41.878826986, -87.728974703)"
JD456847,12/11/2020 07:00:00 PM,010XX N PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1112,37,14,1149533,1906592,41.899608295,-87.726211216,"(41.899608295, -87.726211216)"
JD460016,12/06/2020 12:00:00 AM,060XX S TROY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,823,16,11,1156421,1864387,41.783656285,-87.702050884,"(41.783656285, -87.702050884)"
JD458967,12/11/2020 09:00:00 AM,029XX N MASON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2514,30,11,1136217,1918844,41.933477398,-87.774828514,"(41.933477398, -87.774828514)"
JD456707,12/11/2020 10:10:00 PM,013XX S OAKLEY AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,1233,28,26,1161252,1893774,41.864198932,-87.683523726,"(41.864198932, -87.683523726)"
JD459970,12/10/2020 08:00:00 AM,036XX W DOUGLAS BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1011,24,11,1152121,1893208,41.862830527,-87.717058439,"(41.862830527, -87.717058439)"
JD456617,12/11/2020 09:27:00 PM,001XX W 119TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,522,9,04B,1177641,1826048,41.677995332,-87.625407111,"(41.677995332, -87.625407111)"
JD456695,12/11/2020 11:24:00 PM,083XX S OGLESBY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,412,8,05,1193296,1850039,41.743461824,-87.567324031,"(41.743461824, -87.567324031)"
JD460355,11/04/2020 12:00:00 PM,063XX N KOLMAR AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1711,39,11,1144914,1941698,41.996030666,-87.742287787,"(41.996030666, -87.742287787)"
JD461729,06/01/2020 07:00:00 AM,034XX W 116TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,2211,19,11,,,,,
JD458151,12/11/2020 03:00:00 PM,085XX W RASCHER AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1614,41,06,1118381,1935084,41.978342157,-87.840032827,"(41.978342157, -87.840032827)"
JD456373,12/11/2020 04:21:00 PM,083XX S BAKER AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,424,10,05,1198235,1849816,41.742727824,-87.549235065,"(41.742727824, -87.549235065)"
